 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я
ц;0.0006378907080586859;8.420999446319287e-06;8.210474460161305e-05;4.210499723159643e-06;1.4736749031058751e-05;0.0009010469407561637;0.0;8.420999446319287e-06;6.315749584739465e-06;0.000389471224392267;0.0;6.526274570897447e-05;2.1052498615798217e-06;2.526299833895786e-05;3.789449750843679e-05;0.00038315547480752754;3.368399778527715e-05;4.210499723159643e-06;2.9473498062117503e-05;3.5789247646856966e-05;0.00016210423934164627;0.0;4.210499723159643e-06;0.0;8.420999446319287e-06;4.210499723159643e-06;0.0;0.0;0.00021684073574272162;0.0;8.420999446319287e-06;0.0;1.8947248754218396e-05
ч;0.0024020900920625763;2.1052498615798217e-06;1.0526249307899107e-05;2.1052498615798217e-06;2.1052498615798217e-06;0.00459997094755191;2.3157748477378037e-05;2.1052498615798217e-06;2.1052498615798217e-06;0.0016947261385717564;0.0;0.00036210297619172934;2.9473498062117503e-05;6.315749584739465e-06;0.001096835177883087;9.052574404793233e-05;8.420999446319287e-06;3.368399778527715e-05;6.315749584739465e-06;0.004930495175819942;0.0005094704665023169;4.210499723159643e-06;0.0;0.0;2.1052498615798217e-06;0.0001284202415563691;0.0;0.0003789449750843679;0.0;0.0;1.263149916947893e-05;0.0;6.315749584739465e-06
ш;0.001014730433281474;1.0526249307899107e-05;2.526299833895786e-05;4.210499723159643e-06;3.5789247646856966e-05;0.002667351574621634;1.0526249307899107e-05;0.0;6.315749584739465e-06;0.0018484093784670833;0.0;0.00033473472799119163;0.0006589432066744841;1.4736749031058751e-05;0.0003199979789601329;0.0002757877318669566;4.4210247093176254e-05;1.8947248754218396e-05;2.1052498615798214e-05;6.94732454321341e-05;0.00027368248200537683;0.0;2.1052498615798217e-06;0.0;6.315749584739465e-06;8.420999446319287e-06;0.0;0.00015157799003374717;0.0;0.0;0.0;0.0;2.1052498615798217e-06
щ;0.0003810502249459477;0.0;2.1052498615798217e-06;0.0;2.1052498615798217e-06;0.0014063069075353207;0.0;0.0;0.0;0.0008631524432477269;0.0;0.0;0.0;2.1052498615798217e-06;7.78942448784534e-05;4.210499723159643e-06;0.0;1.4736749031058751e-05;2.1052498615798217e-06;4.210499723159643e-06;0.00011578874238689019;0.0;0.0;0.0;2.1052498615798217e-06;0.0;0.0;5.473649640107536e-05;0.0;0.0;0.0;0.0;0.0
ь;0.00010105199335583143;0.0004189447224543845;0.0013431494116879262;0.0002336827346353602;0.0005726279623497115;0.0010589406803746503;0.0;8.210474460161305e-05;0.0007221007025218788;0.000778942448784534;0.0;0.0017768308831733694;0.0001936829872653436;0.000802100197261912;0.00247998433694103;0.0008042054471234919;0.0009852569352193565;0.00017684098837270502;0.002501036835556828;0.0007768371989229541;0.0002652614825590575;4.84207468163359e-05;0.00011578874238689019;0.00019578823712692342;0.0007452584509992569;0.0006357854581971062;1.4736749031058751e-05;0.0;0.0;0.0;0.00018315673795744447;0.0005389439645644344;0.0005557859634570728
ы;4.631549695475607e-05;0.0004294709717622836;0.001627358143001202;0.00019999873685008304;0.0005599964631802326;0.0012968339147331701;0.0;6.315749584739464e-05;0.00032420847868329253;0.00042315522217754414;0.0019263036233455367;0.0004294709717622836;0.002808403315347482;0.001863146127498142;0.0010589406803746503;0.000507365216640737;0.0008442051944935084;0.00048420746816335894;0.0014799906526906145;0.0012210449197162965;0.0003199979789601329;1.0526249307899107e-05;0.0011368349252531037;2.3157748477378037e-05;0.0002568404831127382;0.0005347334648412746;9.473624377109197e-05;0.0;0.0;0.0;0.00011578874238689019;0.0;0.0002042092365732427
ъ;0.0;0.0;4.210499723159643e-06;0.0;0.0;0.00011368349252531036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1052498615798217e-06;2.1052498615798217e-06;0.0;0.0;2.1052498615798217e-06;0.0;2.1052498615798217e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001642094892032261
э;0.0;0.00019157773740376377;2.1052498615798217e-06;1.263149916947893e-05;2.9473498062117503e-05;2.1052498615798217e-06;0.0;0.0;2.1052498615798217e-06;0.0;7.999949474003322e-05;7.368374515529376e-05;2.9473498062117503e-05;6.73679955705543e-05;0.0001936829872653436;0.0;1.263149916947893e-05;0.0008799944421403654;1.263149916947893e-05;0.0034378730239598486;0.0;0.0;1.0526249307899107e-05;0.0;6.315749584739465e-06;6.315749584739465e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ю;6.315749584739464e-05;0.0004063132232849056;0.0004189447224543845;0.00015999898948006644;0.0005410492144260141;5.684174626265518e-05;0.0;0.0001242097418332095;9.052574404793233e-05;0.0002505247335279988;1.4736749031058751e-05;0.0002610509828358979;0.0001242097418332095;0.00017894623823428484;0.00034315572743751093;0.0002589457329743181;0.00036420822605330913;0.0001642094892032261;0.0007263112022450384;0.00044210247093176254;7.78942448784534e-05;2.3157748477378037e-05;4.4210247093176254e-05;2.3157748477378037e-05;0.0004989442171944177;3.368399778527715e-05;0.0004105237230080652;0.0;0.0;0.0;7.578899501687358e-05;4.4210247093176254e-05;8.210474460161305e-05
я;9.473624377109197e-05;0.0005873647113807702;0.0019094616244528981;0.0002463142338048391;0.0012168344199931368;0.0004863127180249388;0.0;0.00034526097729909073;0.0006442064576434254;0.0008147316964313909;9.894674349425161e-05;0.0009494676875724995;0.0009620991867419784;0.0009347309385414408;0.0024505108388789124;0.0009220994393719619;0.001498937901444833;0.00041262897286964504;0.0021368286095035187;0.00200840836794715;0.0005473649640107537;4.84207468163359e-05;0.00032631372854487233;9.473624377109197e-05;0.0005831542116576106;7.78942448784534e-05;0.0002336827346353602;0.0;0.0;0.0;0.00015999898948006644;0.0001242097418332095;0.00029473498062117503
