 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я
у;0.00010947276233463297;0.0009852548610116967;0.0014568298372224233;0.0014105144377731557;0.0024210322439389984;0.0005136798848009701;0.0;0.0014778822915175452;0.0006526260831487735;0.0005768372476863353;0.00015578816178390078;0.0012168318582580356;0.001524197690966813;0.001684196343609738;0.0011789374405268165;0.0004968379213648727;0.001658933398455592;0.0005347323390960918;0.0019368257951511987;0.0021220873929482698;0.0001852615977970712;4.210490859024345e-05;0.0005389428299551162;0.0;0.0016168284898653484;0.0006021001928404814;0.00034947074129902065;0.0;0.0;0.0;0.00010105178061658428;0.001183147931385841;0.0002526294515414607
ф;0.00023999797896438768;0.0;0.0;2.9473436013170417e-05;0.0;0.0003915756498892641;0.0;0.0;0.0;0.00010947276233463297;0.0;0.0;4.210490859024345e-05;0.0;1.684196343609738e-05;0.00012631472577073036;0.0;8.42098171804869e-05;3.368392687219476e-05;2.1052454295121725e-05;6.315736288536518e-05;0.00010947276233463297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2631472577073035e-05;0.0;0.0
х;0.000719993936893163;0.00014736718006585207;0.000475785467069751;7.999932632146256e-05;0.00023157699724633897;0.00010526227147560863;0.0;2.526294515414607e-05;9.684128975755994e-05;0.0005136798848009701;0.0;0.00023999797896438768;0.00021052454295121726;0.00014736718006585207;0.0003957861407482884;0.0033599717055014275;0.0005136798848009701;0.00020210356123316855;0.0004378910493385319;0.00013473570748877904;0.00018947208865609553;1.684196343609738e-05;4.210490859024345e-05;4.210490859024345e-06;5.052589030829214e-05;2.526294515414607e-05;0.0;0.0;0.0;2.9473436013170417e-05;2.1052454295121725e-05;0.0;5.4736381167316486e-05
ц;0.0006189421562765787;8.42098171804869e-06;0.00010526227147560863;4.210490859024345e-06;2.1052454295121725e-05;0.000867361116959015;0.0;1.2631472577073035e-05;4.210490859024345e-06;0.0003999966316073128;0.0;6.736785374438952e-05;4.210490859024345e-06;3.368392687219476e-05;5.052589030829214e-05;0.0004126281041843858;3.368392687219476e-05;0.0;4.210490859024345e-05;2.9473436013170417e-05;0.0001852615977970712;0.0;4.210490859024345e-06;0.0;8.42098171804869e-06;4.210490859024345e-06;0.0;0.0;0.00023578748810536334;0.0;8.42098171804869e-06;0.0;1.684196343609738e-05
ч;0.002404190280502901;4.210490859024345e-06;8.42098171804869e-06;0.0;0.0;0.004551540618605317;1.684196343609738e-05;0.0;4.210490859024345e-06;0.0017599851790721763;0.0;0.00035789172301706933;3.368392687219476e-05;4.210490859024345e-06;0.0011284115502185246;7.999932632146256e-05;1.2631472577073035e-05;3.78944177312191e-05;1.2631472577073035e-05;0.004875748414750192;0.0005263113573780432;4.210490859024345e-06;0.0;0.0;0.0;9.684128975755994e-05;0.0;0.0003284182870038989;0.0;0.0;8.42098171804869e-06;0.0;8.42098171804869e-06
ш;0.000964202406716575;8.42098171804869e-06;2.9473436013170417e-05;8.42098171804869e-06;2.1052454295121725e-05;0.0027368190583658245;4.210490859024345e-06;0.0;8.42098171804869e-06;0.00173472223391803;0.0;0.00032420779614487455;0.0006736785374438952;1.2631472577073035e-05;0.0003452602504399963;0.0002526294515414607;4.210490859024345e-05;1.684196343609738e-05;1.684196343609738e-05;5.052589030829214e-05;0.0002736819058365824;0.0;0.0;0.0;8.42098171804869e-06;8.42098171804869e-06;0.0;0.00014736718006585207;0.0;0.0;0.0;0.0;4.210490859024345e-06
щ;0.000366312704735118;0.0;0.0;0.0;0.0;0.0013263046205926688;0.0;0.0;0.0;0.0009347289707034046;0.0;0.0;0.0;4.210490859024345e-06;6.315736288536518e-05;4.210490859024345e-06;0.0;1.684196343609738e-05;0.0;8.42098171804869e-06;9.684128975755994e-05;0.0;0.0;0.0;0.0;0.0;0.0;5.8946872026340834e-05;0.0;0.0;0.0;0.0;0.0
ь;0.00011368325319365731;0.0004336805584795075;0.0013557780566058391;0.0002694714149775581;0.0005894687202634083;0.001010517806165843;0.0;5.052589030829214e-05;0.0006736785374438952;0.0007663093363424308;0.0;0.0018526159779707117;0.00019368257951511987;0.0009010450438312099;0.0023705063536307064;0.0007873617906375525;0.0010526227147560864;0.00017263012521999814;0.00244208469823412;0.0007368359003292604;0.00027789239669560677;5.4736381167316486e-05;9.26307988985356e-05;0.00017263012521999814;0.0007789408089195039;0.0006231526471356031;1.684196343609738e-05;0.0;0.0;0.0;0.00021052454295121726;0.0005515743025321892;0.0005473638116731648
ы;4.210490859024345e-05;0.0004042071224663371;0.001612617999006324;0.00018947208865609553;0.0005347323390960918;0.0013010416754385226;0.0;6.736785374438952e-05;0.0003326287778629233;0.0003915756498892641;0.0020041936488955883;0.00047999595792877535;0.002694714149775581;0.0017894586150853467;0.0010905171324873055;0.00047999595792877535;0.0008505191535229177;0.00044210154019755626;0.001402093456055107;0.0012294633308351087;0.00034947074129902065;8.42098171804869e-06;0.001086306641628281;1.684196343609738e-05;0.00023999797896438768;0.0005305218482370674;9.26307988985356e-05;0.0;0.0;0.0;9.26307988985356e-05;0.0;0.00019368257951511987
ъ;0.0;0.0;8.42098171804869e-06;0.0;0.0;0.00010947276233463297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.210490859024345e-06;0.0;0.0;0.0;4.210490859024345e-06;0.0;4.210490859024345e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00015999865264292512
э;0.0;0.0001684196343609738;4.210490859024345e-06;4.210490859024345e-06;3.78944177312191e-05;4.210490859024345e-06;0.0;0.0;0.0;0.0;7.999932632146256e-05;7.57888354624382e-05;2.9473436013170417e-05;5.052589030829214e-05;0.00017684061607902248;0.0;1.684196343609738e-05;0.0008968345529721855;1.2631472577073035e-05;0.003381024159796549;0.0;0.0;0.0;0.0;4.210490859024345e-06;4.210490859024345e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ю;5.8946872026340834e-05;0.0004126281041843858;0.0004336805584795075;0.00017263012521999814;0.0005557847933912135;5.4736381167316486e-05;0.0;0.0001515776709248764;0.00010105178061658428;0.0002652609241185337;2.1052454295121725e-05;0.00023578748810536334;0.00013473570748877904;0.00015578816178390078;0.00037894417731219106;0.00025683994240048504;0.000366312704735118;0.00018105110693804685;0.0007663093363424308;0.0003999966316073128;8.42098171804869e-05;2.1052454295121725e-05;4.210490859024345e-05;2.9473436013170417e-05;0.0004673644853517023;3.368392687219476e-05;0.0004126281041843858;0.0;0.0;0.0;7.999932632146256e-05;3.368392687219476e-05;7.157834460341386e-05
я;0.00010105178061658428;0.0005726267568273109;0.00192840481343315;0.00022315601552829029;0.00122104234911706;0.00048420644878779967;0.0;0.00037894417731219106;0.0005599952842502379;0.0008210457175097473;8.842030803951124e-05;0.0008757820986770638;0.0009810443701526723;0.0008715716078180394;0.0025347154971326557;0.0008589401352409664;0.0013936724743370582;0.00047157497621072667;0.0022147181918468054;0.0020336670849087587;0.0005684162659682865;4.63153994492678e-05;0.0003368392687219476;6.736785374438952e-05;0.0005642057751092623;6.736785374438952e-05;0.00022736650638731463;0.0;0.0;0.0;0.00017684061607902248;0.00010105178061658428;0.0002905238692726798
